,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
0,Alabama,2016,23.0,25.0,11.0,23.0,87.0,52.0,52.0,92.0,69.0,49.0,39.0,37.0,86.0,24.0,7.0,14.63
1,Alaska,2016,23.0,22.0,11.0,19.0,94.0,53.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45
2,Arizona,2016,24.0,25.0,11.0,22.0,90.0,51.0,56.0,84.0,70.0,44.0,44.0,33.0,88.0,19.0,7.0,10.83
3,Arkansas,2016,23.0,22.0,12.0,21.0,85.0,48.0,52.0,76.0,72.0,50.0,36.0,34.0,86.0,20.0,0.0,13.47
4,California,2016,22.0,19.0,10.0,20.0,79.0,43.0,48.0,61.0,58.0,36.0,31.0,27.0,73.0,16.0,5.0,10.17
5,Colorado,2016,21.0,21.0,9.0,20.0,73.0,45.0,47.0,65.0,59.0,36.0,34.0,27.0,68.0,16.0,7.0,6.63
6,Connecticut,2016,24.0,24.0,12.0,25.0,85.0,48.0,53.0,83.0,63.0,46.0,32.0,30.0,72.0,21.0,7.0,9.8
7,Delaware,2016,25.0,23.0,12.0,23.0,89.0,52.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63
8,District of Columbia,2016,20.0,18.0,9.0,20.0,78.0,36.0,37.0,70.0,50.0,35.0,29.0,29.0,61.0,15.0,0.0,7.68
9,Florida,2016,21.0,22.0,10.0,23.0,80.0,42.0,48.0,74.0,60.0,38.0,35.0,30.0,75.0,20.0,5.0,11.76
10,Georgia,2016,21.0,21.0,11.0,23.0,78.0,45.0,48.0,74.0,61.0,42.0,32.0,28.0,72.0,17.0,5.0,12.09
11,Hawaii,2016,25.0,21.0,11.0,22.0,80.0,42.0,0.0,69.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,10.49
12,Idaho,2016,22.0,25.0,13.0,23.0,88.0,53.0,0.0,78.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94
13,Illinois,2016,22.0,21.0,10.0,21.0,77.0,42.0,45.0,62.0,57.0,38.0,32.0,28.0,72.0,19.0,5.0,10.37
14,Indiana,2016,25.0,27.0,13.0,22.0,91.0,58.0,60.0,71.0,75.0,50.0,41.0,34.0,89.0,21.0,6.0,11.53
15,Iowa,2016,23.0,23.0,11.0,22.0,84.0,54.0,58.0,71.0,72.0,46.0,40.0,36.0,84.0,20.0,0.0,9.31
16,Kansas,2016,20.0,21.0,10.0,21.0,77.0,46.0,50.0,72.0,61.0,40.0,39.0,26.0,79.0,18.0,6.0,9.4
