geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,54,51,91,53,65
Alaska,0,47,67,0,0
Arizona,48,43,80,42,58
Arkansas,58,53,83,56,71
California,42,38,62,35,49
Colorado,39,36,62,35,45
Connecticut,49,46,76,48,61
Delaware,0,47,83,0,0
District of Columbia,38,32,67,31,44
Florida,43,37,76,41,50
Georgia,39,36,67,41,49
Hawaii,0,37,67,0,46
Idaho,0,48,79,0,63
Illinois,41,37,68,41,50
Indiana,61,57,78,60,72
Iowa,46,45,85,44,58
Kansas,43,42,63,38,49
Kentucky,44,42,82,47,59
Louisiana,43,40,76,48,55
Maine,46,44,84,0,61
Maryland,53,48,82,46,59
Massachusetts,43,41,71,42,52
Michigan,44,40,80,42,56
Minnesota,50,47,76,41,60
Mississippi,0,45,100,0,61
Missouri,50,46,80,45,61
Montana,0,46,67,0,67
Nebraska,49,46,82,0,59
Nevada,45,39,67,0,53
New Hampshire,0,46,63,0,59
New Jersey,44,42,68,44,53
New Mexico,0,52,91,0,64
New York,38,34,65,39,47
North Carolina,47,43,75,45,57
North Dakota,0,59,86,0,0
Ohio,51,48,83,49,63
Oklahoma,46,40,80,43,55
Oregon,28,25,46,24,33
Pennsylvania,46,43,86,45,58
Rhode Island,0,33,70,0,48
South Carolina,50,47,70,45,63
South Dakota,0,57,89,0,0
Tennessee,44,41,95,48,56
Texas,43,38,71,42,51
Utah,45,45,69,45,59
Vermont,0,35,79,0,0
Virginia,33,29,57,32,39
Washington,45,41,63,35,56
West Virginia,0,56,99,0,71
Wisconsin,46,43,71,43,59
Wyoming,0,41,61,0,0
