geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,29,9,73,16,33
Arizona,9,6,53,27,20
Arkansas,11,0,61,41,37
California,12,4,51,18,16
Colorado,14,8,45,18,28
Connecticut,12,5,57,21,22
Delaware,0,0,0,0,75
District of Columbia,12,0,63,22,18
Florida,12,3,50,16,18
Georgia,13,6,45,19,24
Illinois,10,4,57,20,19
Indiana,12,13,62,32,27
Iowa,15,0,84,17,26
Kansas,20,5,56,9,39
Kentucky,17,18,70,12,32
Louisiana,26,14,51,28,26
Maryland,13,8,56,21,32
Massachusetts,14,2,49,17,24
Michigan,16,4,57,14,22
Minnesota,10,9,53,23,29
Mississippi,11,0,51,19,44
Missouri,17,7,71,25,29
Nevada,18,0,36,23,23
New Jersey,12,4,53,18,15
New York,12,5,43,16,18
North Carolina,13,7,55,22,23
North Dakota,49,0,0,42,100
Ohio,11,8,54,23,24
Oklahoma,16,0,63,18,32
Oregon,14,4,50,21,33
Pennsylvania,15,6,57,19,30
South Carolina,9,0,43,25,27
Tennessee,16,9,70,24,16
Texas,11,5,56,22,23
Utah,14,0,60,14,37
Virginia,11,6,52,19,25
Washington,10,3,46,12,25
Wisconsin,16,7,66,16,26
