geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,20,19,12,26,89
Alaska,15,15,10,21,82
Arizona,20,20,11,24,85
Arkansas,20,21,12,27,93
California,15,18,9,22,69
Colorado,16,17,10,23,70
Connecticut,19,20,11,24,81
Delaware,20,21,13,25,87
District of Columbia,13,15,9,22,73
Florida,17,18,11,26,76
Georgia,17,17,10,24,76
Hawaii,15,20,12,24,83
Idaho,21,21,11,24,86
Illinois,17,18,10,23,74
Indiana,25,24,13,26,94
Iowa,20,19,14,27,85
Kansas,20,20,11,25,77
Kentucky,24,20,13,26,91
Louisiana,23,20,11,26,85
Maine,24,21,13,25,86
Maryland,19,20,12,25,91
Massachusetts,19,19,11,25,83
Michigan,20,19,11,23,75
Minnesota,19,22,11,24,82
Mississippi,22,21,13,29,97
Missouri,21,20,13,26,84
Montana,19,19,13,24,88
Nebraska,23,22,12,27,90
Nevada,16,16,10,24,69
New Hampshire,20,21,10,24,84
New Jersey,18,18,10,26,81
New Mexico,22,25,12,24,100
New York,15,16,9,22,67
North Carolina,19,18,12,26,84
North Dakota,19,27,14,22,89
Ohio,20,21,12,26,85
Oklahoma,20,22,13,27,90
Oregon,17,18,10,25,79
Pennsylvania,20,21,12,27,84
Rhode Island,17,19,10,26,87
South Carolina,19,20,13,26,84
South Dakota,25,23,14,28,95
Tennessee,26,22,13,29,94
Texas,17,17,9,23,75
Utah,20,19,11,23,82
Vermont,20,21,13,21,76
Virginia,16,19,10,24,81
Washington,17,19,10,23,72
West Virginia,24,23,15,30,98
Wisconsin,20,22,12,26,80
Wyoming,16,22,9,21,74
